Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CGXFC9A6U19C7,1.1V,113560,264,240,5,5,1,2,12492800,342,8,4,16,0
5CGXFC9A6U19A7,1.1V,113560,264,240,5,5,1,2,12492800,342,8,4,16,0
5CGXFC7D7F31C8,1.1V,56480,522,480,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D7F27C8,1.1V,56480,378,336,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D6F31I7,1.1V,56480,522,480,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D6F31C7,1.1V,56480,522,480,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D6F31C6,1.1V,56480,522,480,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D6F31A7,1.1V,56480,522,480,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D6F27I7,1.1V,56480,378,336,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D6F27C7,1.1V,56480,378,336,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7D6F27C6,1.1V,56480,378,336,9,9,2,2,7024640,156,7,4,16,0
5CGXFC7C7U19C8,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C7F23C8,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C6U19I7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C6U19C7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C6U19C6,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C6U19A7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C6F23I7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C6F23C7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7C6F23C6,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGXFC7B7M15C8,1.1V,56480,256,240,3,3,1,2,7024640,156,7,4,16,0
5CGXFC7B6M15I7,1.1V,56480,256,240,3,3,1,2,7024640,156,7,4,16,0
5CGXFC7B6M15C7,1.1V,56480,256,240,3,3,1,2,7024640,156,7,4,16,0
5CGXFC7B6M15C6,1.1V,56480,256,240,3,3,1,2,7024640,156,7,4,16,0
5CGXFC5F7M11C8,1.1V,29080,149,129,4,4,1,0,4567040,150,6,4,16,0
5CGXFC5F6M11I7,1.1V,29080,149,129,4,4,1,0,4567040,150,6,4,16,0
5CGXFC5F6M11C7,1.1V,29080,149,129,4,4,1,0,4567040,150,6,4,16,0
5CGXFC5F6M11C6,1.1V,29080,149,129,4,4,1,0,4567040,150,6,4,16,0
5CGXFC5C7U19C8,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C7M13C8,1.1V,29080,203,175,6,6,2,1,4567040,150,6,4,16,0
5CGXFC5C7F27C8,1.1V,29080,364,336,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C7F23C8,1.1V,29080,268,240,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6U19I7,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6U19C7,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
